name,institution,course_id
machine learning,stanford university,machine-learning
indigenous canada,university of alberta,indigenous-canada
the science of well-being,yale university,the-science-of-well-being
technical support fundamentals,google,technical-support-fundamentals
become a cbrs certified professional installer by google,google - spectrum sharing,google-cbrs-cpi-training
financial markets,yale university,financial-markets-global
introduction to psychology,yale university,introduction-psychology
programming for everybody (getting started with python),university of michigan,python
the bits and bytes of computer networking,google,computer-networking
ai for everyone,deeplearning.ai,ai-for-everyone
crash course on python,google,python-crash-course
psychological first aid,johns hopkins university,psychological-first-aid
neural networks and deep learning,deeplearning.ai,neural-networks-deep-learning
what is data science?,ibm,what-is-datascience
successful negotiation: essential strategies and skills,university of michigan,negotiation-skills
fundamentals of project planning and management,university of virginia,uva-darden-project-management
project launch,"university of california, irvine",project-management
"brand management: aligning business, brand and behaviour",london business school,brand
writing in the sciences,stanford university,sciwrite
stanford introduction to food and health,stanford university,food-and-health
"html, css, and javascript for web developers",johns hopkins university,html-css-javascript-for-web-developers
excel skills for business: essentials,macquarie university,excel-essentials
introduction to negotiation: a strategic playbook for becoming a principled and persuasive negotiator,yale university,negotiation
"everyday excel, part 1",university of colorado boulder,everyday-excel-part-1
learning how to learn: powerful mental tools to help you master tough subjects,university of california san diego,learning-how-to-learn
google cloud platform fundamentals: core infrastructure,google cloud,gcp-fundamentals
viral marketing and how to craft contagious content,university of pennsylvania,wharton-contagious-viral-marketing
python data structures,university of michigan,python-data
private equity and venture capital,università bocconi,private-equity
first step korean,yonsei university,learn-korean
"introduction to tensorflow for artificial intelligence, machine learning, and deep learning",deeplearning.ai,introduction-tensorflow
operating systems and you: becoming a power user,google,os-power-user
tools for data science,ibm,open-source-tools-for-data-science
"improving deep neural networks: hyperparameter tuning, regularization and optimization",deeplearning.ai,deep-neural-network
diversity and inclusion in the workplace,essec business school,diversity-inclusion-workplace
design and interpretation of clinical trials,johns hopkins university,clinical-trials
visual elements of user interface design,california institute of the arts,visual-elements-user-interface-design
management of fashion and luxury companies,università bocconi,mafash
primeros auxilios psicológicos (pap),universitat autònoma de barcelona,pap
social psychology,wesleyan university,social-psychology
initiating and planning projects,"university of california, irvine",project-planning
computational thinking for problem solving,university of pennsylvania,computational-thinking-problem-solving
agile with atlassian jira,atlassian,agile-atlassian-jira
fundamentals of graphic design,california institute of the arts,fundamentals-of-graphic-design
introduction to user experience design,georgia institute of technology,user-experience-design
introduction to marketing,university of pennsylvania,wharton-marketing
python for data science and ai,ibm,python-for-applied-data-science-ai
marketing analytics,university of virginia,uva-darden-market-analytics
natural language processing with classification and vector spaces,deeplearning.ai,classification-vector-spaces-in-nlp
fundamentals of quantitative modeling,university of pennsylvania,wharton-quantitative-modeling
how to manage a remote team,gitlab,remote-team-management
mathematics for machine learning: linear algebra,imperial college london,linear-algebra-machine-learning
introduction to data science in python,university of michigan,python-data-analysis
customer analytics,university of pennsylvania,wharton-customer-analytics
introduction to psychology,university of toronto,introduction-psych
english for career development,university of pennsylvania,careerdevelopment
global diplomacy – diplomacy in the modern world,university of london,global-diplomacy
game theory,stanford university,game-theory-1
sql for data science,"university of california, davis",sql-for-data-science
write professional emails in english,georgia institute of technology,professional-emails-english
medical neuroscience,duke university,medical-neuroscience
system administration and it infrastructure services,google,system-administration-it-infrastructure-services
international women's health and human rights,stanford university,womens-health-human-rights
child nutrition and cooking,stanford university,childnutrition
understanding the brain: the neurobiology of everyday life,the university of chicago,neurobiology
introduction to social media marketing,facebook,social-media-marketing-introduction
forensic accounting and fraud examination,west virginia university,forensic-accounting
clinical terminology for international and u.s. students,university of pittsburgh,clinical-terminology
science of exercise,university of colorado boulder,science-exercise
digital product management: modern fundamentals,university of virginia,uva-darden-digital-product-management
data science math skills,duke university,datasciencemathskills
structuring machine learning projects,deeplearning.ai,machine-learning-projects
an introduction to american law,university of pennsylvania,american-law
the strategy of content marketing,"university of california, davis",content-marketing
introduction to cybersecurity tools & cyber attacks,ibm,introduction-cybersecurity-cyber-attacks
the data scientist’s toolbox,johns hopkins university,data-scientists-tools
