title,n_enrolled,course_type,Level,subject,language,price
how to learn online,"124,980",self-paced on your time,introductory,education & teacher training,english,free-add a verified certificate for $49 usd
programming for everybody (getting started with python),"293,864",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $49 usd
cs50's introduction to computer science,"2,442,271",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $90 usd
the analytics edge,"129,555",instructor-led on a course schedule,intermediate,data analysis & statistics,english,free-add a verified certificate for $199 usd
marketing analytics: marketing measurement strategy,"81,140",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $249 usd
introduction to project management,"301,793",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $199 usd
leading high-performing teams,"32,847",self-paced on your time,intermediate,communication,english,free-add a verified certificate for $5 usd
the foundations of happiness at work,"67,073",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $199 usd
"managing study, stress and mental health at university","23,061",self-paced on your time,introductory,health & safety,english,free-add a verified certificate for $49 usd
six sigma: define and measure,"92,411",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $99 usd
fat chance: probability from the ground up,"66,835",self-paced on your time,introductory,math,english,free-add a verified certificate for $49 usd
chasing your dream: how to end procrastination and get a job you love,"44,711",self-paced on your time,introductory,communication,english,free-add a verified certificate for $49 usd
bitcoin and cryptocurrencies,"83,398",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $99 usd
english grammar and style,,instructor-led on a course schedule,introductory,humanities,english,free-add a verified certificate for $99 usd
ethics in action,"6,366",self-paced on your time,intermediate,ethics,english,free-add a verified certificate for $49 usd
introduction to fintech,"72,767",self-paced on your time,introductory,economics & finance,english,free-add a verified certificate for $199 usd
data science: r basics,"528,782",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $49 usd
python basics for data science,"228,809",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $39 usd
the science of beer,"39,085",self-paced on your time,introductory,food & nutrition,english,free-add a verified certificate for $49 usd
strategic social media marketing,"103,640",instructor-led on a course schedule,advanced,business & management,english,free-add a verified certificate for $399 usd
cs50's introduction to artificial intelligence with python,"258,006",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $199 usd
cs50's introduction to game development,"346,748",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $149 usd
rhetoric: the art of persuasive writing and public speaking,"320,225",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
cs50's web programming with python and javascript,"698,950",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $90 usd
contract law: from trust to promise to contract,"414,181",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $125 usd
"fundamentals of neuroscience, part 1: the electrical properties of the neuron","380,167",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $99 usd
justice,"392,588",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
data science: machine learning,"276,209",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $49 usd
child protection: children's rights in theory and practice,"212,453",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $99 usd
ielts academic test preparation,"1,103,777",self-paced on your time,introductory,communication,english,free-add a verified certificate for $99 usd
the architectural imagination,"406,181",self-paced on your time,introductory,architecture,english,free-add a verified certificate for $99 usd
toefl® test preparation: the insider’s guide,"1,022,489",self-paced on your time,introductory,communication,english,free-add a verified certificate for $49 usd
principles of biochemistry,"257,600",self-paced on your time,intermediate,medicine,english,free-add a verified certificate for $199 usd
using python for research,"262,183",self-paced on your time,intermediate,computer science,english,free-add a verified certificate for $99 usd
hinduism through its scriptures,"140,782",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
basic spanish 1: getting started,"400,169",self-paced on your time,introductory,communication,english,free-add a verified certificate for $40 usd
the health effects of climate change,"110,024",self-paced on your time,introductory,environmental studies,english,free-add a verified certificate for $99 usd
inglés básico: conversacional y networking,"79,671",self-paced on your time,introductory,business & management,español,free-add a verified certificate for $49 usd
