course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
ultimate investment banking course,Pago,200,2147,23,51,all levels,1.5,2017-01-18T20:58:58Z,business finance
complete gst course & certification  grow your ca practice,Pago,75,2792,923,274,all levels,39.0,2017-03-09T16:34:20Z,business finance
financial modeling for business analysts and consultants,Pago,45,2174,74,51,intermediate level,2.5,2016-12-19T19:26:30Z,business finance
beginner to pro  financial analysis in excel 2017,Pago,95,2451,11,36,all levels,3.0,2017-05-30T20:07:24Z,business finance
how to maximize your profits trading options,Pago,200,1276,45,26,intermediate level,2.0,2016-12-13T14:57:18Z,business finance
trading penny stocks: a guide for all levels in 2017,Pago,150,9221,138,25,all levels,3.0,2014-05-02T15:13:30Z,business finance
investing and trading for beginners: mastering price charts,Pago,65,1540,178,26,beginner level,1.0,2016-02-21T18:23:12Z,business finance
trading stock chart patterns for immediate explosive gains,Pago,95,2917,148,23,all levels,2.5,2015-01-30T22:13:03Z,business finance
options trading 3 : advanced stock profit and success method,Pago,195,5172,34,38,expert level,2.5,2015-05-28T00:14:03Z,business finance
the only investment strategy you need for your retirement,Pago,200,827,14,15,all levels,1.0,2017-04-18T18:13:32Z,business finance
forex trading secrets of the pros with amazon's aws,Pago,200,4284,93,76,all levels,5.0,2015-09-11T16:47:02Z,business finance
trading options with money flow,Pago,200,1380,42,17,all levels,1.0,2016-10-18T22:52:31Z,business finance
financial management risk and return for securities,Pago,30,3607,21,19,all levels,1.5,2016-02-03T18:04:01Z,business finance
forex trading course: work smarter not harder proven results,Pago,195,4061,52,16,all levels,2.0,2016-03-16T15:40:19Z,business finance
python algo trading: sentiment trading with news,Pago,200,294,19,42,all levels,7.0,2017-04-28T16:41:44Z,business finance
short selling: learn to sell stocks before the fall,Pago,75,2276,106,19,intermediate level,1.5,2015-06-22T21:18:35Z,business finance
basic technical analysis: learn the structure of the market,Pago,20,4919,79,16,beginner level,1.5,2016-01-08T17:21:26Z,business finance
the complete chart pattern trading course: a proven approach,Pago,200,2666,115,52,all levels,4.0,2015-08-10T21:07:35Z,business finance
7 deadly mistakes of investing that will slash your profits!,Pago,50,5354,24,23,all levels,1.5,2015-09-21T18:10:34Z,business finance
financial statements made easy,Pago,95,8095,249,12,beginner level,0.5833333333333334,2013-06-09T00:21:26Z,business finance
winning forex trading with live forex trading examples,Pago,200,809,3,25,all levels,2.0,2017-06-06T02:54:04Z,business finance
forex traders  create your first trading robot no coding!,Pago,200,2295,84,39,all levels,4.0,2016-05-02T19:26:48Z,business finance
create a business from home trading stocks today in 2017,Pago,75,10149,83,16,all levels,2.0,2015-05-26T17:25:46Z,business finance
introduction to accounting : mastering financial statements,Pago,50,1916,38,23,beginner level,1.0,2016-12-05T22:14:17Z,business finance
the complete ethereum course: get 01 ether in your wallet,Pago,45,2507,333,40,all levels,2.0,2016-05-30T18:53:46Z,business finance
beginner to pro in powerpoint: complete powerpoint training,Pago,150,5786,518,50,all levels,5.0,2015-01-31T15:34:05Z,business finance
investing 101: the complete online investing course,Pago,200,5334,373,42,all levels,4.5,2014-11-28T17:49:03Z,business finance
create your own hedge fund: trade stocks like a fund manager,Pago,175,4005,237,25,intermediate level,2.0,2015-04-12T20:13:47Z,business finance
learn mql5: build an 8currency hedging robot (metatrader 5),Pago,150,2877,103,81,all levels,4.5,2016-04-26T22:41:46Z,business finance
forex trading: your complete guide to get started like a pro,Pago,140,1026,25,37,beginner level,3.0,2017-06-27T22:21:31Z,business finance
python algo stock trading: automate your trading!,Pago,95,1165,21,41,beginner level,2.5,2017-05-28T23:41:03Z,business finance
the forex robot: incredible roi (robot included),Pago,200,1843,171,35,all levels,1.5,2016-10-04T15:20:57Z,business finance
the complete bitcoin course: get 001 bitcoin in your wallet,Pago,45,8797,449,80,all levels,6.5,2015-01-09T03:55:15Z,business finance
mastering high probability iron condor options trading,Pago,200,1030,11,22,all levels,2.0,2017-06-01T05:22:08Z,business finance
the complete short course on ethereum,Pago,200,1041,12,28,all levels,1.5,2017-06-11T19:02:03Z,business finance
options trading stocks: proven toolbox for financial success,Pago,195,7884,118,68,intermediate level,10.0,2015-05-19T23:25:41Z,business finance
forex trading az™  with live examples of forex trading,Pago,195,16900,2476,52,beginner level,5.5,2014-12-12T23:58:39Z,business finance
introduction to finance accounting modeling and valuation,Pago,200,11441,1118,61,all levels,4.5,2016-06-28T06:12:23Z,business finance
